hrf_time,hrf1,hrf2,hrf3,hrf4,hrf5,hrf6,hrf7,hrf8,hrf9,hrf10,hrf11,hrf12,hrf13,hrf14,hrf15,hrf16,hrf17,hrf18
5,0.940320520063028,0.889181871262495,0.913673574697445,0.825180090260707,0.838075290491195,0.759426450644688,0.77234225283257,0.742700577295462,0.730651656506685,0.986065871098808,0.995435651257752,0.991567268323246,1,1,0.995642775796237,0.967071507628363,0.898751364958702,0.754201764443314
5.25,0.962697281267669,0.917606051457302,0.935574294572453,0.857865942330423,0.86556146661529,0.794509090694396,0.803659054498825,0.776200363294261,0.765724755547453,0.962721105866158,0.980806793420155,0.972696446844811,0.994985812035901,0.990981460550924,1,0.985302058672658,0.930697544299795,0.799728613971806
5.5,0.980100545782459,0.942285808889882,0.954313120587751,0.887944834214983,0.890819210849792,0.827954102560662,0.833435131065541,0.808420372577303,0.799583874355988,0.928882516291949,0.956288143930384,0.943631713578759,0.980451742033631,0.972384239782877,0.995687586423801,0.996402199449768,0.957336663588966,0.842389618449527
5.75,0.992275049007327,0.962904792869711,0.969829603625469,0.915062174487887,0.913681830333775,0.859395192179947,0.861423310255984,0.839059905740367,0.831884475877138,0.88486856239029,0.922054398279181,0.904617220798943,0.956374471318982,0.944280202652199,0.982537088847385,1,0.978092510287397,0.881406857955111
6,0.998965513228104,0.979146637049247,0.982063303973516,0.938863354844842,0.933982633419478,0.888466049082811,0.887376414497016,0.867818253471347,0.862282009204399,0.830997723507287,0.878280261060719,0.855897134800489,0.922730674409616,0.906741215426537,0.960380044357624,0.995723500377006,0.992388828371168,0.916002355801348
6.25,1,0.990752554764496,0.991001259610193,0.959028057708453,0.951582955611145,0.914815271478996,0.91106114987893,0.894403069448617,0.890438657091586,0.76779466159527,0.825331986983674,0.797914489255036,0.879678431682242,0.860022847270428,0.929209795646863,0.983328147677622,0.999737147465415,0.945434775036081
6.5,0.995539871726059,0.997694004293206,0.996820411713058,0.975373043048678,0.966456204319553,0.938151002467248,0.93229969834947,0.918555386111492,0.916043452162804,0.696608868826967,0.764342092886226,0.731907867447627,0.828101456581773,0.805115513461896,0.889666878637725,0.963078933044004,1,0.969109141785469
6.75,0.985829807308463,1,0.99974518759513,0.987749338532045,0.978603814103907,0.958196273094734,0.95092811867401,0.940024586801036,0.938792143860484,0.618996026083684,0.696634640514263,0.659314720245032,0.769064844427577,0.743193318043841,0.842553600434356,0.93536820691493,0.993127643164143,0.986467049118684
7,0.971114496644131,0.997699566260631,1,0.996007980235945,0.988027210423304,0.974674120328643,0.966782465152826,0.95856005413137,0.958380484384525,0.536511814511501,0.623533698684718,0.581572502347433,0.7036337103233,0.67543037787039,0.788672293845507,0.900588352472155,0.979070373882758,0.996950135958304
7.25,0.95163862344143,0.990821721966332,0.997809280359034,1,0.99472783169769,0.987307579010221,0.979698800186795,0.973911175012864,0.974504226761745,0.450711919848722,0.546363334183173,0.500118669577395,0.632873154914992,0.603000802164242,0.728825271397378,0.859131725571884,0.957778454562791,1
7.5,0.927646867515407,0.979395481630055,0.993397438516713,0.999576424611849,0.99870709911811,0.99581967775581,0.989513172712213,0.985827325723462,0.986859115882238,0.363152018551116,0.466447608696038,0.416390670667496,0.557848282095549,0.527078698715509,0.663814852534569,0.811390693450842,0.929202163867631,0.995058260300704
7.75,0.899423101858296,0.963502667027551,0.987003136446399,0.994650437233722,1,1,0.996109600000241,0.99411493420714,0.995205043770019,0.275314258951518,0.385062699165064,0.331765645485655,0.47960971165267,0.448808131006578,0.594455427953121,0.757807847479679,0.893380650552205,0.98169461505355
8,0.867407954400917,0.943436313318958,0.978921982768134,0.985383832011152,0.998775738796335,0.999904333125577,0.999563937446925,0.998808608361794,0.999558471376796,0.188386626622645,0.303293207072787,0.247379455351117,0.399150115146616,0.36921296015272,0.521609674558881,0.699026693985417,0.850708581064323,0.959991137119052
8.25,0.83208124303961,0.91954225877284,0.969463826896517,0.972000554461976,0.995237076060737,0.995655013456128,1,1,1,0.103483578385872,0.22217584950906,0.164307652614865,0.317447683177308,0.289287004391209,0.446152344311768,0.635740967733028,0.801669496912809,0.930157984165156
